"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Tb927.10.4510",2.24317846456006e-14,-1.21237733029938,0.066,0.263,2.00719609008834e-10
"Tb927.11.9050",2.28471780005223e-14,-0.993527835612959,0.077,0.279,2.04436548748674e-10
"Tb927.8.4780",2.28685801628665e-14,-0.610873311242506,0.261,0.549,2.0462805529733e-10
"Tb927.5.3300",2.35736606435475e-14,-1.11083399648477,0.089,0.294,2.10937115438463e-10
"Tb927.6.3010",2.36646864811536e-14,-1.57658097629569,0.037,0.214,2.11751614633362e-10
"Tb927.5.1930",2.38350990012235e-14,-0.577065293711815,0.258,0.54,2.13276465862948e-10
"Tb927.3.3020",2.39057188092544e-14,-1.58491578917158,0.037,0.214,2.13908371905208e-10
"Tb927.10.8880",2.48266102248911e-14,-1.05703306097667,0.097,0.305,2.22148508292325e-10
"Tb927.10.2520",2.48487898831026e-14,-1.11127121575149,0.072,0.274,2.22346971874002e-10
"Tb927.7.2320",2.55798634221953e-14,-1.7409295126659,0.052,0.233,2.28888617901803e-10
"Tb927.4.1810",2.60944040538753e-14,-1.07133173224628,0.103,0.316,2.33492727474076e-10
"Tb927.10.9760",2.64234340217373e-14,-2.1693787580683,0.026,0.194,2.36436887626505e-10
"Tb927.10.2770",2.66811575467886e-14,-0.537713622822846,0.209,0.489,2.38742997728664e-10
"Tb927.8.5560",2.75139052966947e-14,-1.50866911187458,0.046,0.227,2.46194424594824e-10
"Tb927.6.3970",2.91948496018312e-14,-2.0989345045509,0.023,0.187,2.61235514237186e-10
"Tb927.10.9450",2.96710120499328e-14,2.71653014293615,0.123,0.037,2.65496215822798e-10
"Tb927.6.4120",2.97506545391187e-14,-1.338324567907,0.069,0.264,2.66208856816034e-10
"Tb927.10.13620",3.01578124810279e-14,-1.07962487715211,0.083,0.287,2.69852106080237e-10
"Tb927.10.330",3.02072808031662e-14,-2.74527702627439,0.02,0.181,2.70294748626731e-10
"Tb927.11.12440",3.05379580770746e-14,-0.725628194461566,0.178,0.428,2.73253648873664e-10
"Tb927.2.3030",3.05750926222653e-14,-0.647488551914223,0.166,0.409,2.7358592878403e-10
"Tb927.5.2325",3.05863269795165e-14,-1.27716268630846,0.054,0.241,2.73686453812714e-10
"Tb927.9.4900",3.26844263972385e-14,-2.38164030912823,0.026,0.191,2.9246024740249e-10
"Tb927.11.9780",3.3179697168062e-14,-1.38256593897028,0.054,0.241,2.96891930259819e-10
"Tb927.3.3520",3.43407837149965e-14,-1.73905183629129,0.052,0.234,3.07281332681788e-10
"Tb927.10.2720",3.46827043138301e-14,-1.44904379135342,0.049,0.231,3.10340838200152e-10
"Tb927.10.3080",3.57254896569647e-14,-1.75674143474272,0.04,0.215,3.1967168145052e-10
"Tb927.7.1230",3.60177957833542e-14,-1.00692991873315,0.095,0.305,3.22287236669454e-10
"Tb927.10.9160",3.66466251838515e-14,-1.31158670617478,0.074,0.269,3.27914002145104e-10
"Tb927.9.5620",3.71927291407752e-14,-1.18908962482424,0.08,0.279,3.32800540351656e-10
"Tb927.10.11690",3.81458344915902e-14,-1.42192255664015,0.046,0.227,3.41328927030749e-10
"Tb927.6.2930",3.83079805658073e-14,-1.00698962543011,0.08,0.282,3.42779810102844e-10
"Tb927.10.4640",3.88091116089349e-14,-0.719634802520136,0.172,0.424,3.4726393067675e-10
"Tb927.5.840",3.92416208095475e-14,-1.06910627039194,0.083,0.285,3.51134023003831e-10
"Tb927.9.8250",4.08127451408578e-14,-1.14513203299628,0.066,0.26,3.65192443520396e-10
"Tb927.9.14430",4.18376923364294e-14,-1.07506483940541,0.103,0.316,3.7436367102637e-10
"Tb927.10.11350",4.24343929840558e-14,-1.16855406317537,0.063,0.254,3.79702948421331e-10
"Tb927.3.3510",4.30531903198673e-14,-1.70098384062294,0.032,0.203,3.85239946982173e-10
"Tb927.9.4300",4.3079225741237e-14,-1.63472513667954,0.04,0.216,3.85472911932588e-10
"Tb927.6.4650",4.34789032998141e-14,-0.727825160033411,0.135,0.361,3.89049226726736e-10
"Tb927.7.6810",4.38544717715486e-14,-0.758566034922342,0.112,0.332,3.92409813411817e-10
"Tb927.11.11300",4.395861412973e-14,-2.8143823709731,0.014,0.17,3.93341679232824e-10
"Tb927.6.3450",4.43830122593672e-14,-2.0615033082964,0.032,0.2,3.97139193696817e-10
"Tb927.8.3690",4.63564638391285e-14,-1.11419949111084,0.083,0.283,4.14797638432522e-10
"Tb927.11.5400",4.71715753087152e-14,-1.10272660598191,0.083,0.286,4.22091255862384e-10
"Tb927.7.2770",4.79567256760063e-14,-2.29967323239638,0.026,0.189,4.29116781348905e-10
"Tb927.11.2640",4.83467533589105e-14,-2.38179132519195,0.023,0.185,4.32606749055531e-10
"Tb927.6.730",4.88822818083168e-14,-1.3897150232834,0.06,0.247,4.37398657620819e-10
"Tb927.11.6340",4.89027747808934e-14,-0.998793515683985,0.126,0.348,4.37582028739434e-10
"Tb927.10.10700",4.90171371532606e-14,-1.57953954682923,0.04,0.214,4.38605343247376e-10
"Tb927.11.12270",5.07198452434408e-14,-1.00175268617874,0.08,0.284,4.53841175238309e-10
"Tb927.9.4420",5.18165746945777e-14,-0.780675867789826,0.138,0.37,4.63654710367082e-10
"Tb927.11.340",5.24702554971878e-14,-1.93421143008802,0.026,0.19,4.69503846188837e-10
"Tb927.9.12030",5.33329653164453e-14,-1.50556446319044,0.04,0.215,4.77223373651553e-10
"Tb927.3.2220",5.34331373244436e-14,-0.89454673090714,0.123,0.348,4.78119712779121e-10
"Tb927.9.10500",5.55869630510985e-14,-1.51334331676396,0.049,0.228,4.9739214538123e-10
"Tb927.11.17020",5.66318240927798e-14,-1.41718860110045,0.049,0.231,5.06741561982194e-10
"Tb927.8.4380",5.87255716797186e-14,-0.551087600921721,0.215,0.48,5.25476415390122e-10
"Tb927.6.3610",5.90883980772204e-14,-1.79567145980488,0.032,0.201,5.28722985994968e-10
"Tb927.10.11680",6.02070305935168e-14,-1.25263168768705,0.072,0.264,5.38732509750788e-10
"Tb927.9.14200",6.10985285069032e-14,-1.09855234481106,0.086,0.287,5.4670963307977e-10
"Tb927.8.540",6.12787939270071e-14,-0.768899754905706,0.1,0.317,5.4832264805886e-10
"Tb927.8.4930",6.32310521773903e-14,-1.03738063759431,0.072,0.266,5.65791454883288e-10
"Tb927.6.4430",6.32964240783743e-14,-1.13965489276556,0.072,0.263,5.66376402653293e-10
"Tb927.7.2470",6.42525037387668e-14,-1.56334416931,0.049,0.228,5.74931403454485e-10
"Tb927.10.13880",6.45423063956545e-14,-1.46027655738125,0.049,0.227,5.77524557628316e-10
"Tb927.10.7060",6.70976182531073e-14,-0.987113983023094,0.077,0.278,6.00389488128804e-10
"Tb927.11.10580",6.75631158581568e-14,-1.72214206323767,0.032,0.201,6.04554760698787e-10
"Tb927.7.2530",6.89676647030448e-14,-1.13493971153494,0.06,0.247,6.17122663762845e-10
