,group,names,scores,logfoldchanges,pvals,pvals_adj
236,trypomast_0,C4B63_149g23,7.5343847,0.6044545,4.906432615430012e-14,7.517145410100321e-10
237,trypomast_0,C4B63_60g132,7.511993,0.80136675,5.823402535089096e-14,8.922035024010004e-10
238,trypomast_0,C4B63_104g380c,7.509132,0.979359,5.9520702163969e-14,9.119166778541691e-10
239,trypomast_0,C4B63_13g269,7.5022454,0.82004493,6.27338709072378e-14,9.611456361697904e-10
240,trypomast_0,C4B63_10g159,7.5020466,0.6609931,6.282892871571577e-14,9.626020168534813e-10
241,trypomast_0,C4B63_19g692c,7.490391,0.88245505,6.866877701519862e-14,1.0520743326498581e-09
242,trypomast_0,C4B63_81g59,7.4861846,0.55372185,7.090467381869546e-14,1.0863305075762331e-09
243,trypomast_0,C4B63_2g763,7.426264,0.80572957,1.1170818065175108e-13,1.7114810357654784e-09
244,trypomast_0,C4B63_25g113,7.4022846,0.8202784,1.3386127605979558e-13,2.050888610512128e-09
245,trypomast_0,C4B63_18g176,7.3997197,0.7126498,1.3647235982317727e-13,2.090893024850899e-09
246,trypomast_0,C4B63_14g70,7.3722157,0.5134258,1.6781495309829298e-13,2.5710928964189467e-09
247,trypomast_0,C4B63_233g19,7.369593,0.7623575,1.711494398174196e-13,2.622180567442686e-09
248,trypomast_0,C4B63_9g2155c,7.366743,1.2934709,1.748467044195404e-13,2.6788263584117788e-09
249,trypomast_0,C4B63_12g1344c,7.3588247,0.5877019,1.8553635395568644e-13,2.842602478955072e-09
250,trypomast_0,C4B63_37g98,7.2920423,0.7343047,3.0529092713867844e-13,4.6773622946916925e-09
251,trypomast_0,C4B63_22g172,7.289492,0.8123447,3.111260522254189e-13,4.766762246145644e-09
252,trypomast_0,C4B63_2g367,7.2720857,0.7608657,3.5397896986509806e-13,5.423311797303167e-09
253,trypomast_0,C4B63_9g2158c,7.2640014,1.1064517,3.7580459746603156e-13,5.757702237777069e-09
254,trypomast_0,C4B63_78g25,7.220419,0.546951,5.182770180300724e-13,7.94052219323874e-09
255,trypomast_0,C4B63_24g1533c,7.20618,0.70068955,5.754334627610466e-13,8.816216082961994e-09
256,trypomast_0,C4B63_42g42,7.1964755,0.8315999,6.178877842390549e-13,9.46665874232656e-09
257,trypomast_0,C4B63_61g73,7.184275,0.7491365,6.756469264748149e-13,1.035158656052064e-08
258,trypomast_0,C4B63_97g21,7.1807756,0.85842043,6.931693231137593e-13,1.0620047199425906e-08
259,trypomast_0,C4B63_51g207,7.1654043,0.9617778,7.755737965598578e-13,1.1882566137093581e-08
260,trypomast_0,C4B63_17g90,7.1570096,0.53357583,8.245598222710005e-13,1.2633081037013999e-08
261,trypomast_0,C4B63_23g260,7.1552525,0.6743337,8.351895931941939e-13,1.2795939757328244e-08
262,trypomast_0,C4B63_1g74,7.1167603,0.58678555,1.1049328340632068e-12,1.692867595068239e-08
263,trypomast_0,C4B63_42g246,7.1161327,0.624025,1.1099740339018745e-12,1.700591217341062e-08
264,trypomast_0,C4B63_2g208c,7.104015,0.7824013,1.211836167145856e-12,1.856654191684166e-08
